Incident,RequestedBy,Description,Category,Solution_code,Start_Date,End_Date,Status,Assignement_Group,Ticket_Criticality,Env,SolvedBy
INC00010010,Risa Hill,Not able to run workflow from Hue in PROD.,User Access,Permissions Updated,8/14/2021 2:22,8/14/2021 6:22,New,HADOOP_ENGG,3-Moderate,SIT,Seth Holder
INC00010011,Bevis Burris,Hue Authentication getting expired repeatedly,Configuration,Workaround,8/2/2022 20:33,8/7/2022 14:33,On-Hold,HADOOP_SUPPORT_L1,3-Moderate,SIT,Marianna Stafford
INC00010012,Anna Campbell,SparkUI: Failed to bind SparkUI,Capacity,Housekeeping,5/3/2022 12:13,5/3/2022 21:13,New,HADOOP_ENGG,3-Moderate,SIT,Yurem Montes
INC00010013,Charity Goodman,New account for HUE, ACL for any new project space of EAP Cluster,Miscategorised,10/20/2021 10:30,10/23/2021 10:30,In-Progress,HADOOP_SUPPORT_L3,4-Low,SIT,Ariana Avila
INC00010014,Regina Cotton,Some rogue jobs are occuping all available memory in YARN Queue, need help to kill those jobs ASAP,Capacity,1/29/2023 12:03,1/30/2023 10:03,New,HADOOP_ENGG,3-Moderate,DEV,Seth Holder
INC00010015,Cruz Hays,Please provide resource details for all the queue associated ,Configuration,Workaround,6/24/2021 23:49,6/28/2021 23:49,In-Progress,HADOOP_SUPPORT_L2,1-Critical,UAT,Damari Mcgrath
INC00010016,Urielle Love,issue with hive property modification,Configuration,Workaround,2/7/2021 4:57,2/17/2021 21:57,Closed,HADOOP_ENGG,1-Critical,SIT,Seth Holder
INC00010017,Sylvester Jenkins,Unable to access  hive from jupiter,Dependent System,Workaround,7/26/2020 6:03,7/29/2020 15:03,New,HADOOP_SUPPORT_L1,1-Critical,PROD,Jaquan Mcclure
INC00010018,Wynne Ramos,Export all polices to to PROD env in ranger,Configuration,Amend Configuration,12/21/2020 14:07,12/30/2020 17:07,On-Hold,HADOOP_SUPPORT_L3,2-High,SIT,Laci Acosta
INC00010019,Dexter Murphy,grant db level access to user in ranger,User Access,Permissions Updated,4/22/2022 8:32,4/28/2022 17:32,Closed,HADOOP_SUPPORT_L3,3-Moderate,DEV,Odin Potter
INC00010020,Gay Parks,oozie logs not showing in  HUE,Configuration,Workaround,1/16/2022 8:31,1/16/2022 19:31,Resolved,HADOOP_SUPPORT_L3,1-Critical,PROD,Kaydence Luna
INC00010021,Kirby Tyson,oozie logs not showing in  HUE,Configuration,Workaround,6/8/2022 23:28,6/18/2022 17:28,On-Hold,HADOOP_SUPPORT_L2,1-Critical,DEV,Colton Robertson
INC00010022,Violet Scott,Unable to execute multiple table joined queries in Spark shell,Configuration,Amend Configuration,12/30/2021 20:18,1/11/2022 18:18,Closed,HADOOP_SUPPORT_L3,1-Critical,PROD,Guadalupe Mcneil
INC00010023,Jenna Watson,Job stuck with HS2,No Fault Found,Training/Advise,4/9/2023 5:43,4/9/2023 22:43,Resolved,HADOOP_SUPPORT_L3,3-Moderate,SIT,Laci Acosta
INC00010024,Glenna Dennis,We are facing following issue due to which spark job getting fail,Data-Transaction,Workaround,8/24/2020 5:26,8/26/2020 17:26,Closed,HADOOP_SUPPORT_L2,1-Critical,PROD,Alana Hughes
INC00010025,Richard Dixon,HDFS fails   ACL support for the NFS gateway,User Access,Permissions Updated,8/22/2022 12:57,8/30/2022 0:57,In-Progress,HADOOP_SUPPORT_L3,1-Critical,DEV,Eva Underwood
INC00010026,April Mann,Kindly check and let me know is it possible to add additional resource to hadoop_apac,Capacity,Additional Capacity,11/23/2021 3:42,12/4/2021 13:42,New,HADOOP_ENGG,2-High,PROD,Yurem Montes
INC00010027,Burke York,ACL Issue - Unable to access Hue Database Report,User Access,Permissions Updated,12/2/2020 6:58,12/6/2020 19:58,New,HADOOP_SUPPORT_L2,3-Moderate,UAT,Damari Mcgrath
INC00010028,Petra Stuart,Issue in Hive,Capacity,Housekeeping,4/8/2021 4:56,4/18/2021 10:56,Resolved,HADOOP_ENGG,4-Low,PROD,Chloe Anderson
INC00010029,Plato Hall,Transferring empty file to HDFS when trying to send files via webHDFS protocol,Data-Transaction,Workaround,2/5/2023 7:30,2/15/2023 2:30,Resolved,HADOOP_SUPPORT_L1,1-Critical,DEV,Keaton Forbes
INC00010030,Nelle Petty,Spark error on UAT Cluster connectivity via DoD,Configuration,Workaround,12/12/2020 8:10,12/17/2020 21:10,New,HADOOP_SUPPORT_L1,4-Low,PROD,Keaton Forbes
INC00010031,Noelle Schultz,oozie logs not showing in  HUE,Configuration,Workaround,9/4/2021 23:45,9/5/2021 21:45,In-Progress,HADOOP_ENGG,4-Low,DEV,Seth Holder
INC00010032,Luke Walker,Hue Authentication getting expired repeatedly,Configuration,Workaround,12/18/2020 19:21,12/23/2020 21:21,New,HADOOP_ENGG,3-Moderate,UAT,Landin Vaughn
INC00010033,Sophia Montgomery,ACL Issue - Unable to access Hue Database Report,User Access,Permissions Updated,6/19/2022 15:25,6/29/2022 16:25,In-Progress,HADOOP_SUPPORT_L3,1-Critical,SIT,Dale Oliver
INC00010034,Ali Small,Deleting data form external Hive tables,Data,Data Deleted,7/24/2022 9:37,8/2/2022 14:37,In-Progress,HADOOP_ENGG,4-Low,UAT,Landin Vaughn
INC00010035,Lara Lambert,ACL Issue - Unable to access Hue Database Report,User Access,Permissions Updated,7/11/2021 2:45,7/19/2021 16:45,New,HADOOP_SUPPORT_L2,3-Moderate,SIT,Colton Robertson
